name,cuisine,overall_rating,locality,address,suburb,latitude,longitude,average_for_one,feature
Qipo Skewer Bar ,"Hot Pot, Chinese, Asian",4,CBD,"Level 1/280, Little Lonsdale Street, CBD, Melbourne",CBD,-37.81142649,144.9610105,$40.00 ,Chinese
Rising Embers by Dainty Sichuan,"Chinese, BBQ, Sichuan, Asian",4.1,CBD,"Level 1, 139 Little Bourke Street, CBD, Melbourne",CBD,-37.81170964,144.9683182,$50.00 ,Chinese
Nong Tang Noodle House,"Chinese, Shanghai, Dumplings",3.9,Midcity Arcade,"Midcity Arcade, Ground Level, Shop 16-17, 200 Bourke Street, CBD, Melbourne",Midcity Arcade,-37.81242613,144.9673378,$30.00 ,Chinese
Ants Bistro,"Asian, Chinese",4.3,CBD,"7 Corrs Lane, CBD, Melbourne",CBD,-37.8113555,144.9683332,$37.50 ,Chinese
Xiao Jun Gan Hot Pot,"Chinese, Hot Pot",4.3,CBD,"11 Waratah Place, CBD, Melbourne",CBD,-37.8114935,144.9670243,$40.00 ,Chinese
Shanghai Street on Bourke,"Chinese, Dumplings",4.1,CBD,"Terrace, 360 Bourke Street, CBD, Melbourne",CBD,-37.81429083,144.9627707,$40.00 ,Chinese
Red Emperor,"Asian, Chinese, Yum Cha",4.2,"Southgate, Southbank","Southgate, Middle Level, 3 Southgate Avenue, Southbank, Melbourne","Southgate, Southbank",-37.8201834,144.966457,$70.00 ,Chinese
"Shanghai Street Dumplings, Wontons and Noodle","Dumplings, Chinese",4.2,CBD,"64 La Trobe Street, CBD, Melbourne",CBD,-37.80859487,144.9669948,$20.00 ,Chinese
GO Noodle House ,Chinese,3.8,CBD,"195 Exhibition Street, CBD, Melbourne",CBD,-37.81127815,144.9700653,$22.50 ,Chinese
Tanghuo Kungfu,"Chinese, Malatang",3.9,CBD,"277 Elizabeth Street, CBD, Melbourne",CBD,-37.81209981,144.9620498,$20.00 ,Chinese
Heyday Hong Kong Cafe,Chinese,4.1,CBD,"16 Celestial Avenue, CBD, Melbourne",CBD,-37.81184367,144.9662904,$17.50 ,Chinese
D House Cafe,"Asian, Chinese",3.7,CBD,"313 Swanston Street, CBD, Melbourne",CBD,-37.81086017,144.9642908,$20.00 ,Chinese
Quanjude,"Chinese, Asian, Seafood",3.8,CBD,"299 Queen Street, CBD, Melbourne",CBD,-37.8113261,144.9588741,$60.00 ,Chinese
Lanzhou Beef Noodle Bar,"Chinese, Fast Food",4.4,Carlton,"Shop 3, 743-751 Swanston Street, Carlton",Carlton,-37.80050259,144.9636317,$20.00 ,Chinese
Gold Leaf,"Chinese, Yum Cha",4.1,"The District, Docklands","The District, First Floor, 440 Docklands Drive, Docklands, Melbourne","The District, Docklands",-37.81235223,144.9372816,$50.00 ,Chinese
China Chilli ,"Chinese, Asian, Hot Pot, Dumplings, Sichuan",3.9,CBD,"Village Centre Arcade, Level 1, Shop, 206 Bourke Street, CBD, Melbourne",CBD,-37.81274769,144.9669361,$40.00 ,Chinese
Kim Sing,Chinese,4.2,CBD,"310 Flinders Lane, Melbourne CBD",CBD,-37.81739079,144.9637631,$15.00 ,Chinese
North East China Family,"Chinese, Dumplings",4,CBD,"302 Flinders Lane, CBD, Melbourne",CBD,-37.81729174,144.9641007,$40.00 ,Chinese
Crazy Wing,Chinese,2.7,CBD,"177 Russell Street, CBD, Melbourne",CBD,-37.81228734,144.9677385,$20.00 ,Chinese
David's Spicy Pot - Russell Street,"Malatang, Chinese, Asian",4.3,CBD,"166 Russell Street, CBD, Melbourne",CBD,-37.81239912,144.9680422,$30.00 ,Chinese
Myong Tofu,"Malaysian, Chinese",4.7,Flemington,"314 Racecourse Road, Flemington, Melbourne",Flemington,-37.78810762,144.9302398,$35.00 ,Chinese
Westlake,"Chinese, Yum Cha, Asian",3.7,CBD,"189 Little Bourke Street, CBD, Melbourne",CBD,-37.81208683,144.966905,$40.00 ,Chinese
Cooking Corner,"Chinese, Asian",4,CBD,"542 Little Bourke Street, CBD, Melbourne",CBD,-37.81502187,144.9563397,$45.00 ,Chinese
Da Long Yi Hotpot,"Hot Pot, Chinese, Asian",3.9,CBD,"398 Elizabeth Street, CBD, Melbourne",CBD,-37.80936199,144.961109,$30.00 ,Chinese
Man Tong Kitchen,Chinese,3.7,"Crown Melbourne, Southbank","Crown Melbourne, Level 1, 8 Whiteman Street, Southbank, Melbourne","Crown Melbourne, Southbank",-37.82400505,144.9574924,$37.50 ,Chinese
China Bar,"Chinese, Asian, Yum Cha",2.1,CBD,"257-259 Swanston Street, CBD, Melbourne",CBD,-37.8120953,144.9648444,$25.00 ,Chinese
Cupanda Kitchen,"Chinese, Dumplings, Hot Pot",3.7,CBD,"106 A'Beckett Street, CBD, Melbourne",CBD,-37.80946609,144.9601176,$27.50 ,Chinese
Spice Up Hot Pot Dips,"Chinese, Malatang",4,CBD,"Shop 1, 46 Little La Trobe Street, CBD, Melbourne",CBD,-37.80938292,144.9622862,$15.00 ,Chinese
China Bar,"Chinese, Asian, Yum Cha",2.9,CBD,"235 Russell Street, CBD, Melbourne",CBD,-37.81114651,144.9672215,$25.00 ,Chinese
Shandong Mama Mini,"Chinese, Asian",4,CBD,"5 Centre Place, CBD, Melbourne",CBD,-37.81681949,144.9655967,$30.00 ,Chinese
Hi Chong Qing,"Chinese, Ramen",4.1,Carlton,"26 Orr Street, Carlton, Melbourne",Carlton,-37.80635176,144.9652832,$20.00 ,Chinese
Ta-Ta House,"Chinese, Dumplings",3.7,CBD,"179 Russell Street, CBD, Melbourne",CBD,-37.81224099,144.9677076,$30.00 ,Chinese
No.1 Delicious,Chinese,3.9,CBD,"83 Franklin Street, CBD, Melbourne",CBD,-37.80786934,144.9618282,$35.00 ,Chinese
Pacific Seafood BBQ House,"BBQ, Chinese, Seafood",4.3,South Yarra,"210 Toorak Road, South Yarra, Melbourne",South Yarra,-37.83940487,144.9940358,$30.00 ,Chinese
Little Sichuan by Dainty Sichuan,"Chinese, Malatang",3.7,"QV Centre, CBD","QV Centre, 27 Red Cape Lane, CBD, Melbourne","QV Centre, CBD",-37.81071502,144.9650519,$27.50 ,Chinese
Lucky Chan,"Asian, Chinese, Yum Cha",2.6,"Crown Melbourne, Southbank","Crown Melbourne, Ground Level, 8 Whiteman Street, Southbank, Melbourne","Crown Melbourne, Southbank",-37.82329821,144.9578666,$50.00 ,Chinese
The Grand BBQ,"Chinese, BBQ",4.1,Target Centre,"Target Centre, 222 Bourke Street, CBD, Melbourne",Target Centre,-37.81296356,144.9662549,$20.00 ,Chinese
Shanghai Street on Russell,Chinese,3.7,CBD,"167-169 Russell Street, CBD, Melbourne",CBD,-37.81243064,144.9678105,$30.00 ,Chinese
Charming Spice,"Sichuan, Chinese",3.8,CBD,"Level 1, 276 Lonsdale Street, CBD, Melbourne",CBD,-37.81165587,144.9640739,$40.00 ,Chinese
